samplenumber	1
 	 
measurement quantity	E
distance	-1.000000
operator name	
date	09/06/2024
time	13:25:00.290
scriptfile	
measurement status	ok
comment	
dll version	2023.5.0
software version	2024.1.0
 	 
config type	Illuminance (lx)
integral integration time /ms	50.000000
spectral integration time /ms	1000.000000
integral range	3
spectral ranging	
saturation	-9999.000000
number of scans	1
darkmode	dynamic
temperature	-9999.000000
selfabsorbtion correction (lamp)	-9999.000000
sac filename (lamp)	
selfabsorbtion correction (geo)	-9999.000000
sac filename (geo)	
bandwidth correction	on
scale array by diode	on
observer	2°
serial number	66436
firmware	1.96
 	 
integral sensor quantity	E
integral sensor value	1.010800E+3
integral sensor unit	lx
integral sensor a*	1.000700
array scaling factor	-9999.000000
 	 
CCT	5015.700000
X	1.432700E+0
Y	1.480000E+0
Z	1.238600E+0
x	0.345100
y	0.356500
u'	0.209500
v'	0.487000
purity	0.105300
dominant wavelength	570.200000
delta uv	0.002400
 	 
CRI: Ra	84.192000
R1	84.837000
R2	86.721000
R3	87.588000
R4	86.248000
R5	84.357000
R6	81.917000
R7	88.383000
R8	73.489000
R9	21.630000
R10	67.472000
R11	86.219000
R12	57.792000
R13	85.203000
R14	92.806000
R15	79.515000
 	 
TM-30-15 Rf	83.694433
TM-30-15 Rg	99.203559
Rf1 by Hue	82.030964
Rf2 by Hue	87.247375
Rf3 by Hue	77.143931
Rf4 by Hue	84.090734
Rf5 by Hue	86.297356
Rf6 by Hue	89.872701
Rf7 by Hue	92.887663
Rf8 by Hue	90.594002
Rf9 by Hue	87.569645
Rf10 by Hue	76.856825
Rf11 by Hue	72.026831
Rf12 by Hue	85.394062
Rf13 by Hue	87.550184
Rf14 by Hue	85.471875
Rf15 by Hue	77.491429
Rf16 by Hue	84.037476
 	 
L_MP	1.100159
M_MB	4.519379E-1
S_MB	2.371186E-2
X_F	1.027027E+3
Y_F	1060.637951
Z_F	843.703179
 	 
TLCI-2012	73.172844
Qa1	80.264450
Qa2	78.638023
Qa3	82.602310
Qa4	94.011375
Qa5	75.385254
Qa6	77.502068
Qa7	89.533699
Qa8	89.927452
Qa9	87.497017
Qa10	56.793835
Qa11	89.140793
Qa12	81.080818
Qa13	81.991592
Qa14	83.724655
Qa15	55.935268
Qa16	84.904518
Qa17	49.083645
Qa18	90.921532
 	 
EMax /lx	2044.686768
EMin /lx	0.000000
percent /%	100.000000
index	0.440443
frequency /Hz	1000.000000
Pst	0.141604
SVM	-1.000000
Assist Mp	0.000000
pos. Jitter /ms	0.000000
neg. Jitter /ms	0.000000
 	 
Frequency 1 /Hz	1000.000000
Percent 1 /%	122.700250
Frequency 2 /Hz	3000.000000
Percent 2 /%	31.973553
Frequency 3 /Hz	5000.000000
Percent 3 /%	14.570047
Frequency 4 /Hz	6999.722168
Percent 4 /%	8.133259
Frequency 5 /Hz	4000.000000
Percent 5 /%	6.332272
Frequency 6 /Hz	2000.277832
Percent 6 /%	5.460008
Freq. Resolution /Hz	24.414062
Max Frequenzy /Hz	10000.000000
 	 
E user weighting 1 /(W/m2)	-9999.000000
E user weighting 2 /(W/m2)	-9999.000000
E user weighting 3 /(W/m2)	-9999.000000
E user weighting 4 /(W/m2)	-9999.000000
E user weighting 5 /(W/m2)	-9999.000000
 	 
Bilirubin IEC 60601-2-50 / uW/(cm2nm)	1.502500
Bilirubin AAP / (mW/cm2)	0.007212
 	 
cyanopic equivalent illuminance / lx	7.758700E+2
chloropic equivalent  illuminance / lx	9.328400E+2
erythropic equivalent illuminance / lx	9.982400E+2
melanopic equivalent illuminance / lx	7.271400E+2
rhodopic equivalent illuminance / lx	7.886700E+2
cyanopic irradiance / W/m2	6.341200E-1
chloropic irradiance / W/m2	1.358000E+0
erythropic irradiance / W/m2	1.626000E+0
melanopic irradiance / W/m2	9.643300E-1
rhodopic irradiance / W/m2	1.143300E+0
 	 
Esy1 /(W/m2)	2.024700
Esy2 /(W/m2)	2.174500
Ech /(W/m2)	0.833620
Ept1 /(W/m2)	0.661730
Ept2 /(W/m2)	0.657970
Qsy /(mol/m2/s)	14.229000
Emo Pr /(W/m2)	0.666430
Emo Pfr /(W/m2)	0.514680
R/FR	1.294843
DLI /(mol/m2)	-9999.000000
 	 
lambda from /nm	360.000000
lambda to /nm	830.000000
stepwidth /nm	1.000000
peak wavelength	450.700000
peak power	2.740500E-2
spectral unit	(W/m2)/nm
FWHM	20.600000
center wavelength	451.300000
centroid wavelength	553.800000
 	 
radiometric intensity	3.164900E+0
radiometric unit	W/m2
 	 
wavelength /nm	intensity /(W/m2)/nm
360.0000	0.000000E+0
361.0000	4.105912E-5
362.0000	1.743620E-4
363.0000	2.255359E-4
364.0000	9.222492E-5
365.0000	4.329924E-5
366.0000	1.837914E-4
367.0000	2.384366E-4
368.0000	1.005210E-4
369.0000	-4.378756E-6
370.0000	-3.528515E-5
371.0000	-4.773093E-5
372.0000	-1.886286E-5
373.0000	3.222873E-5
374.0000	1.329843E-4
375.0000	1.685323E-4
376.0000	5.856569E-5
377.0000	1.824569E-5
378.0000	1.330579E-4
379.0000	1.770454E-4
380.0000	6.361360E-5
381.0000	-1.599572E-5
382.0000	-2.061114E-5
383.0000	6.607522E-6
384.0000	1.042606E-4
385.0000	1.388931E-4
386.0000	3.446576E-5
387.0000	-9.610946E-6
388.0000	7.912149E-5
389.0000	1.165624E-4
390.0000	4.149769E-5
391.0000	-1.344310E-5
392.0000	-2.438060E-5
393.0000	-6.674944E-6
394.0000	7.344101E-5
395.0000	1.248896E-4
396.0000	1.140869E-4
397.0000	1.094058E-4
398.0000	1.179653E-4
399.0000	1.230743E-4
400.0000	1.207513E-4
401.0000	1.153690E-4
402.0000	1.034235E-4
403.0000	9.384150E-5
404.0000	8.930652E-5
405.0000	8.347686E-5
406.0000	7.489490E-5
407.0000	7.681541E-5
408.0000	1.009561E-4
409.0000	1.256275E-4
410.0000	1.514158E-4
411.0000	1.842971E-4
412.0000	2.320351E-4
413.0000	2.873652E-4
414.0000	3.585134E-4
415.0000	4.295185E-4
416.0000	5.002274E-4
417.0000	5.661951E-4
418.0000	6.223968E-4
419.0000	7.065480E-4
420.0000	8.479296E-4
421.0000	1.012554E-3
422.0000	1.224475E-3
423.0000	1.422114E-3
424.0000	1.590871E-3
425.0000	1.802015E-3
426.0000	2.098314E-3
427.0000	2.402955E-3
428.0000	2.724243E-3
429.0000	3.088391E-3
430.0000	3.537503E-3
431.0000	4.015096E-3
432.0000	4.548743E-3
433.0000	5.146506E-3
434.0000	5.869547E-3
435.0000	6.634335E-3
436.0000	7.480110E-3
437.0000	8.421436E-3
438.0000	9.546716E-3
439.0000	1.077013E-2
440.0000	1.218102E-2
441.0000	1.368940E-2
442.0000	1.538256E-2
443.0000	1.714163E-2
444.0000	1.902460E-2
445.0000	2.087319E-2
446.0000	2.265767E-2
447.0000	2.427084E-2
448.0000	2.556734E-2
449.0000	2.658628E-2
450.0000	2.709653E-2
451.0000	2.729025E-2
452.0000	2.690879E-2
453.0000	2.624563E-2
454.0000	2.507526E-2
455.0000	2.373972E-2
456.0000	2.210937E-2
457.0000	2.044547E-2
458.0000	1.872228E-2
459.0000	1.710104E-2
460.0000	1.565839E-2
461.0000	1.434511E-2
462.0000	1.325619E-2
463.0000	1.226815E-2
464.0000	1.145341E-2
465.0000	1.072105E-2
466.0000	1.012879E-2
467.0000	9.541075E-3
468.0000	8.961032E-3
469.0000	8.408050E-3
470.0000	7.900149E-3
471.0000	7.403846E-3
472.0000	6.926673E-3
473.0000	6.471170E-3
474.0000	6.051031E-3
475.0000	5.669042E-3
476.0000	5.348637E-3
477.0000	5.070885E-3
478.0000	4.861247E-3
479.0000	4.706122E-3
480.0000	4.637090E-3
481.0000	4.581897E-3
482.0000	4.548318E-3
483.0000	4.523913E-3
484.0000	4.513672E-3
485.0000	4.541109E-3
486.0000	4.626063E-3
487.0000	4.723773E-3
488.0000	4.840733E-3
489.0000	4.957655E-3
490.0000	5.074521E-3
491.0000	5.222732E-3
492.0000	5.417126E-3
493.0000	5.628068E-3
494.0000	5.863093E-3
495.0000	6.124340E-3
496.0000	6.423288E-3
497.0000	6.712732E-3
498.0000	6.988679E-3
499.0000	7.298357E-3
500.0000	7.655326E-3
501.0000	8.008755E-3
502.0000	8.357283E-3
503.0000	8.719577E-3
504.0000	9.100690E-3
505.0000	9.496504E-3
506.0000	9.912152E-3
507.0000	1.031317E-2
508.0000	1.069472E-2
509.0000	1.109547E-2
510.0000	1.152142E-2
511.0000	1.193616E-2
512.0000	1.233635E-2
513.0000	1.274310E-2
514.0000	1.315823E-2
515.0000	1.355285E-2
516.0000	1.392162E-2
517.0000	1.427893E-2
518.0000	1.462198E-2
519.0000	1.496477E-2
520.0000	1.530721E-2
521.0000	1.559569E-2
522.0000	1.581896E-2
523.0000	1.601009E-2
524.0000	1.616294E-2
525.0000	1.628827E-2
526.0000	1.638130E-2
527.0000	1.641529E-2
528.0000	1.638101E-2
529.0000	1.633268E-2
530.0000	1.626835E-2
531.0000	1.617354E-2
532.0000	1.604453E-2
533.0000	1.591542E-2
534.0000	1.578622E-2
535.0000	1.564751E-2
536.0000	1.549846E-2
537.0000	1.538049E-2
538.0000	1.529585E-2
539.0000	1.519831E-2
540.0000	1.508716E-2
541.0000	1.498494E-2
542.0000	1.489200E-2
543.0000	1.481050E-2
544.0000	1.474070E-2
545.0000	1.466895E-2
546.0000	1.459525E-2
547.0000	1.454265E-2
548.0000	1.451091E-2
549.0000	1.446945E-2
550.0000	1.441856E-2
551.0000	1.438718E-2
552.0000	1.437448E-2
553.0000	1.434982E-2
554.0000	1.431394E-2
555.0000	1.429835E-2
556.0000	1.430154E-2
557.0000	1.430679E-2
558.0000	1.431392E-2
559.0000	1.431947E-2
560.0000	1.432360E-2
561.0000	1.434183E-2
562.0000	1.437243E-2
563.0000	1.439256E-2
564.0000	1.440365E-2
